title, author, price, rating
"Hands-On Data Analysis with Pandas: A Python data science handbook for data collection, wrangling, analysis, and visualization, 2nd Edition","by Stefanie Molin and Ken Jee",,3.4
"Python for Data Science For Dummies","by John Paul Mueller and Luca Massaron",38.22,4.3
"Business: Business Development, Lean Startup, Marketing Plan, Selling Strategy, Sales Management, Administration Basics, Financial Analysis, Analytics, Credit Cards, Data Science & Technology.","by Jerry Ramonyai",0.00,
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud","by J. Deitel, Paul and M. Deitel, Harvey",122.95,4.7
"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions","by Matt Taddy",30.80,4.4
"Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking","by Foster Provost",,4.5
"Machine Learning, Data Science and Deep Learning with Python (Proceedings of AICTE Sponsored Faculty Development Programme 2021)","by Dr Chandrani  Singh and 24by7 Publishing",4.20,
"Python for Data Science: Comprehensive Guide to Data Science with Python","by Alex Campbell",16.44,4.6
"Statistics: The Art and Science of Learning from Data, Global Edition","by Alan Agresti, A. Franklin, Christine, et al.",75.00,4.4
"Data Science For Dummies","by Lillian Pierson",54.18,
"Trader Construction Kit: Fundamental & Technical Analysis, Risk Management, Directional Trading, Spreads, Options, Quantitative Strategies, Execution, Position Management, Data Science & Programming","by Joel Rubano",141.57,4.7
"Data Modeling Essentials","by Graeme Simsion, Graham Witt, et al.",85.95,4.1
"Big Data MBA: Driving Business Strategies with Data Science","by Bill Schmarzo",52.85,4.3
"Storytelling with Data: Let's Practice!","by Cole Nussbaumer Knaflic",39.40,4.7
"Information Management: Information Systems, Data Science Engineering, Design, Architecture, Extraction, Retrieval, Concepts, Strategies, Security, Best practices, Rules, Operations & Technology.","by Jerry Ramonyai",0.00,
"97 Things about Ethics Everyone in Data Science Should Know: Collective Wisdom from the Experts","by Bill Franks",60.06,4.8
"Stanley Thornes Maths Level 2 Data Handling Textbook: Data Handling Textbook - England","by Buchanan et al",21.45,
"Quantum Physics For Beginners: The Step by Step Guide To Discover All The Mind-Blowing Secrets Of Quantum Physics And How You Unknowingly Use Its Most Famous Theories Every Day","by Michael Rutherford",20.99,4.8
"Python for Data Analysis: A Practical Guide for Manipulating, Processing, Cleaning, and Crunching Data Sets in Python. How to Effectively Solve a Wide Range of Data Analysis Problems.","by Dylan Penny",23.36,4.3
"Python Programming: 3 Books in 1: The Complete Beginner’s Guide to Learning the Most Popular Programming Language","by Dylan Penny",35.06,4.1
"Big History - A Journey From The Big Bang To The Modern World And Into The Future","by Mr Giuseppe Ferrone",43.99,
"Amazing Trains: Part 2: A Giant Activity & Coloring Book","by Lindsay Turlan",13.37,
"Machine Learning in Business: An Introduction to the World of Data Science","by John C Hull",42.15,
"Python for Data Science: A Guide to Learn in Depth How to Use This Programming Language to Reorder Data While Remaining Focused on Your Specific Purposes.","by Dylan Penny",22.58,4.8
"Big History - A Journey From The Big Bang To The Modern World And Into The Future","by Mr Giuseppe Ferrone",43.99,
"5 year monthly planner 2020-2024: Monthly Schedule Organizer - Agenda Planner For The Next Five Years, 60 Months Calendar, Appointment Notebook Large Size | playing guitar design","by Kimberly Pretty Planner",11.25,3.9
"Python for Data Analysis: A Practical Guide for Manipulating, Processing, Cleaning, and Crunching Data Sets in Python. How to Effectively Solve a Wide Range of Data Analysis Problems.","by Dylan Penny",23.36,4.3
"Information Management: Information Systems, Data Science Engineering, Design, Architecture, Extraction, Retrieval, Concepts, Strategies, Security, Best practices, Rules, Operations & Technology.","by Jerry Ramonyai",0.00,
"Data Mining: The Textbook","by Charu C. Aggarwal",34.41,4.2
"Information Dashboard Design: Displaying Data for At-A-Glance Monitoring","by Stephen Few",36.48,4.4
"The Book of Why: The New Science of Cause and Effect","by Judea Pearl",19.25,4.5
"Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning","by Alex J. Gutman and Jordan Goldmeier",47.54,4.8
"Python for Data Analysis: A Beginners Guide to Master the Fundamentals of Data Science and Data Analysis by Using Pandas, Numpy and Ipython","by Brady Ellison",11.99,
"The Big Book of Dashboards: Visualizing Your Data Using Real-World Business Scenarios","by Steve Wexler, Jeffrey Shaffer, et al.",54.25,4.5
"ThermoPro TP53 Hygrometer Humidity Gauge Indicator Digital Indoor Thermometer Room Temperature and Humidity Monitor with Touch Backlight",,,4.6
"The Art of Statistics: How to Learn from Data","by David Spiegelhalter",42.93,4.6
"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython","by Wes McKinney",40.37,4.6
"The Art of Data Science","by Roger Peng and Elizabeth Matsui",32.48,4.6
"Simple Predictive Analytics: Using Excel to Solve Business Problems","by Curtis Seare",8.44,4.7
"SQL for Data Analytics: Perform fast and efficient data analysis with the power of SQL","by Upom Malik, Matt Goldwasser, et al.",38.99,4.3
"Cleaning Data for Effective Data Science: Doing the other 80% of the work with Python, R, and command-line tools","by David Mertz",51.99,5.0
"Python For Beginners: Learn From Scratch the Most Used Programming Language of the Moment in Just 15 Days.","by Dylan Penny",23.36,4.0
"Python for Data Analysis: A Practical Guide for Manipulating, Processing, Cleaning, and Crunching Data Sets in Python. How to Effectively Solve a Wide Range of Data Analysis Problems.","by Dylan Penny",23.36,4.3
"Not Necessarily Rocket Science: A Beginner's Guide to Life in the Space Age","by Kellie Gerardi",15.10,4.8
"Quantum Physics For Beginners: The Step by Step Guide To Discover All The Mind-Blowing Secrets Of Quantum Physics And How You Unknowingly Use Its Most Famous Theories Every Day","by Michael Rutherford",20.99,4.8
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems","by Martin Kleppmann",44.20,4.7
"Data Smart: Using Data Science to Transform Information into Insight","by John W. Foreman",59.25,4.5
"Infinity Dragonfly - Renegade Souls - 6","by Zak Webber",2.76,
"A Tour of Data Science: Learn R and Python in Parallel","by Nailong Zhang",94.99,4.0
"Data Science: Concepts and Practice","by Vijay Kotu and Bala Deshpande",69.52,4.6
"Data Engineering with Python: Work with massive datasets to design data models and automate data pipelines using Python","by Paul Crickard",51.99,4.1
"Data Communications And Networking","by Behrouz A. Forouzan",163.51,4.2
"Data Modeling for the Business: A Handbook for Aligning the Business with IT using High-Level Data Models","by Steve Hoberman, Donna Burbank, et al.",57.95,4.0
"The Chessmen of Mars Illustrated","by Edgar Rice Burroughs",4.19,4.5
"Better Data Visualizations: A Guide for Scholars, Researchers, and Wonks","by Jonathan Schwabish",36.25,4.7
"Quantitative Social Science Data with R: An Introduction","by Brian Fogarty",69.21,4.9
"Python Data Science Essentials: A practitioner’s guide covering essential data science principles, tools, and techniques, 3rd Edition","by Luca Massaron and Alberto Boschetti",67.09,5.0
"Invisible Women: Exposing Data Bias in a World Designed for Men","by Caroline Criado Perez",15.99,4.7
"Introduction to the basics of computer science: A book written for absolute beginners in the field of computer science who want to deepen their ed-ucation in cybersecurity","by sec Byte",6.87,
"Remote Sensing and GIS for Ecologists: Using Open Source Software","by Martin Wegmann, Benjamin Leutner, et al.",78.09,4.6
"The Book of R: A First Course in Programming and Statistics","by Tilman M. Davies",77.09,4.5
"The Data Model Resource Book: Volume 3: Universal Patterns for Data Modeling","by Len Silverston and Paul Agnew",78.87,4.3
"Data & Information Technology: Data Governance, Marketing Analytics, Information Management, Management Consulting, Critical Failures, Decision Science, Leadership Strategy and Management Tactics.","by Jerry Ramonyai",0.00,
"The Python Bible 7 in 1: Volumes One To Seven (Beginner, Intermediate, Data Science, Machine Learning, Finance, Neural Networks, Computer Vision)","by Florian Dedov",58.07,4.6
"Algorithms","by Panos Louridas",19.25,4.6
"Model-Based Clustering and Classification for Data Science: With Applications in R: 50","by Charles Bouveyron, Gilles Celeux, et al.",92.09,5.0
"Excel 2021: The Key To Becoming an Excel Master in Less Than 30 Minutes a Day | A Complete Step-by-Step Guide from Beginner to Expert Thanks to Unique Smart Method + Practical Examples","by Eugene Gates",0.00,4.2
"Probability and Statistics for Data Science: Math + R + Data","by Norman Matloff",98.82,4.0
"Practical Web Scraping for Data Science: Best Practices and Examples with Python","by Seppe vanden Broucke and Bart Baesens",36.15,4.3
"Data Science for Transport: A Self-Study Guide with Computer Exercises","by Charles Fox",129.00,4.0
"Stanley Thornes Primary Maths - Level 3 Data Handling Textbook: Data Handling Textbook - England","by Sean McArdle, Barry Phillips, et al.",80.04,
"Introduction to Statistical and Machine Learning Methods for Data Science","by Dr. Carlos Andre Reis Andre Reis Pinheiro and Mike Patetta",42.49,
"Fallen #1","by Justin Peniston, Chris B Ehnot, et al.",,
"Python Data Cleaning Cookbook: Modern techniques and Python tools to detect and remove dirty data and extract key insights","by Michael Walker",58.99,4.8
"Data Science: The Complete Guide To Data Science For Beginners: Data Science Books You Should Read","by Wendi Yanofsky",,
"Data Science from Scratch","by Joel Grus",156.17,4.3
"Reading Log Book: Track Book what You Read in this Personal Reading Log Book","by Tsan-Darko Publications",9.85,
"Python Programming: 3 Books in 1: The Complete Beginner’s Guide to Learning the Most Popular Programming Language","by Dylan Penny",35.06,4.1
"Data Science with Jupyter: Master Data Science skills with easy-to-follow Python examples","by Prateek Gupta",11.73,4.0
"Algorithms: An Introduction to The Computer Science & Artificial Intelligence Used to Solve Human Decisions, Advance Technology, Optimize Habits, Learn Faster & Your Improve Life","by Trust Genics",21.77,4.0
"Machine Learning for Beginners: Learn to Build Machine Learning Systems Using Python (English Edition)","by Harsh Bhasin",42.17,3.1
"Amazing Trains: Part 2: A Giant Activity & Coloring Book","by Lindsay Turlan",13.37,
"Machine Learning in Business: An Introduction to the World of Data Science","by John C Hull",42.15,
"Python for Data Science: A Guide to Learn in Depth How to Use This Programming Language to Reorder Data While Remaining Focused on Your Specific Purposes.","by Dylan Penny",22.58,4.8
"Python for Data Analysis: A Practical Guide for Manipulating, Processing, Cleaning, and Crunching Data Sets in Python. How to Effectively Solve a Wide Range of Data Analysis Problems.","by Dylan Penny",23.36,4.3
"Introduction to Statistical and Machine Learning Methods for Data Science","by Dr. Carlos Andre Reis Andre Reis Pinheiro and Mike Patetta",42.49,
"Python Data Cleaning Cookbook: Modern techniques and Python tools to detect and remove dirty data and extract key insights","by Michael Walker",58.99,4.8
"Data Science from Scratch","by Joel Grus",156.17,4.3
"Infinity Dragonfly - Renegade Souls - 6","by Zak Webber",2.76,
"Bayesian Data Analysis for the Behavioral and Neural Sciences: Non-Calculus Fundamentals","by Todd E. Hudson",112.98,
"Managing Data Science: Effective strategies to manage data science projects and build a sustainable team","by Kirill Dubovikov",58.51,3.7
"Data Analytics: 4 Books in 1- Bible of 4 Manuscipts- Beginner's Guide+ Tips and Tricks+ Effective Strategies+ Best Practices to Learn Data Analytics Efficiently","by Daniel Jones",48.36,5.0
"Data Structures and Algorithm Analysis in C++, Third Edition","by CLIFFORD A SHAFFER",,4.4
"The Ascent of Information: Books, Bits, Genes, Machines, and Life's Unending Algorithm","by Caleb Scharf",38.06,5.0
"The Chessmen of Mars Illustrated","by Edgar Rice Burroughs",4.19,4.5
"Snowflake Cookbook: Techniques for building modern cloud data warehousing solutions","by Hamid Mahmood Qureshi and Hammad Sharif",51.99,4.3
"Data Science For Dummies","by Lillian Pierson and Jake Porway",22.75,4.4
"Python: This book includes : Python basics for Beginners + Python Automation Techniques And Web Scraping + Python For Data Science And Machine Learning","by Andy Vickler",74.45,5.0
"The Data Detective: Ten Easy Rules to Make Sense of Statistics","by Tim Harford",38.49,4.5
"Introduction to the basics of computer science: A book written for absolute beginners in the field of computer science who want to deepen their ed-ucation in cybersecurity","by sec Byte",6.87,
"Introduction to Statistics and Data Analysis: With Exercises, Solutions and Applications in R","by Christian Heumann, Michael Schomaker, et al.",113.00,5.0
"Python For Beginners: Learn From Scratch the Most Used Programming Language of the Moment in Just 15 Days.","by Dylan Penny",23.36,4.0
"Big History - A Journey From The Big Bang To The Modern World And Into The Future","by Mr Giuseppe Ferrone",43.99,
"Not Necessarily Rocket Science: A Beginner's Guide to Life in the Space Age","by Kellie Gerardi",15.10,4.8
"Quantum Physics For Beginners: The Step by Step Guide To Discover All The Mind-Blowing Secrets Of Quantum Physics And How You Unknowingly Use Its Most Famous Theories Every Day","by Michael Rutherford",20.99,4.8
"A Descriptive Catalogue of the Musical Manuscript Collection of the National Library of Greece: Byzantine Chant and Other Music Repertory Recovered","by DianeH. Touliatos-Miles",230.01,
"Azure Data Factory Cookbook: Build and manage ETL and ELT pipelines with Microsoft Azure's serverless data integration service","by Dmitry Anoshin, Dmitry Foshin, et al.",58.99,4.2
"Data & Information Technology: Data Governance, Marketing Analytics, Information Management, Management Consulting, Critical Failures, Decision Science, Leadership Strategy and Management Tactics.","by Jerry Ramonyai",0.00,
"Mining the Social Web, 3e: Data Mining Facebook, Twitter, Linkedin, Instagram, Github, and More","by Matthew A Russell",41.59,4.2
"Data Science Strategy For Dummies","by Ulrika J&auml;gare",40.15,4.3
"The Economics of Data, Analytics, and Digital Transformation: The theorems, laws, and empowerments to guide your organization's digital transformation","by Bill Schmarzo and Kirk Borne",38.99,4.2
"Big Data & Information Technology: Data Governance, Marketing Analytics, Information Management, Management Consulting, Critical Failures, Decision Science, Leadership Strategy & Management Tactics.","by Jerry Ramonyai",0.00,
"Modeling the Agile Data Warehouse with Data Vault","by Hans Hultgren",133.76,4.6
"Forecasting Time Series Data with Facebook Prophet: Build, improve, and optimize time series forecasting models using the advanced forecasting tool","by Greg Rafferty",71.53,4.6
"Hands-On Data Science for Marketing: Improve your marketing strategies with machine learning using Python and R","by Yoon Hyup Hwang",64.89,4.5
"Qualitative Data Analysis: A Methods Sourcebook 4ed","by Matthew B. Miles",135.59,4.7
"Naruto: The Official Character Data Book","by Masashi Kishimoto",,4.8
"Fallen #1","by Justin Peniston, Chris B Ehnot, et al.",,
"Discovering Computers ©2018: Digital Technology, Data, and Devices","by Misty E. Vermaat, Susan L. Sebok, et al.",138.64,4.3
"Data Science: The Complete Guide To Data Science For Beginners: Data Science Books You Should Read","by Wendi Yanofsky",,
"Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems","by Aurelien Geron",40.43,4.8
"Malware Data Science: Attack Detection and Attribution","by JOSHUA SAXE",57.11,4.5
"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL","by Walter Shields",36.47,4.5
"Stanley Thornes Maths Level 2 Data Handling Textbook: Data Handling Textbook - England","by Buchanan et al",21.45,
"Data Means Business: Level up your organisation to adapt, evolve and scale in an ever-changing world","by Jason Foster and Barry Green",29.69,3.8
"Operations Strategy: Operations Handbook, Management, Leadership, Research, Data, Manager Skills, Processes, Consulting Tools, Supply Chain, Excellence Gap, Smart Solutions, Change & Finance Basics.","by Jerry Ramonyai",0.00,
"Statistical Foundations of Data Science","by Jianqing Fan, Runze Li, et al.",213.58,4.5
"Kimball's Data Warehouse Toolkit Classics: 3 Volume Set","by Ralph Kimball, Margy Ross, et al.",156.93,4.6
"Dogs and Data Science","by Camille Denning and Thatcher Emily",,5.0
"A Programmer's Guide to Computer Science: A virtual degree for the self-taught developer","by Dr. William M Springer II, Brit Springer, et al.",43.19,4.5
"The Data Warehouse Toolkit: The Definitive Guide to Dimensional Modeling","by Ralph Kimball and Margy Ross",63.75,4.5
"Customer Centric: Customer Service, Support, Care, Acquisition, Selling Analytics, Data Driven Platform, Insight Development Success, Experience Management, Behaviour Manager, Engagement & Loyalty.","by Jerry Ramonyai",0.00,
"The Elements of Statistical Learning: Data Mining, Inference, andPrediction 2e: Data Mining, Inference, and Prediction, Second Edition","by Hastie; Tibshirani; Friedman",49.00,4.5
"Analysis of Categorical Data with R: 113","by Christopher R. Bilder and Thomas M. Loughin",141.00,4.6
"SPSS Survival Manual: A step by step guide to data analysis using IBM SPSS","by Julie Pallant",42.00,4.8
"Building a Scalable Data Warehouse with Data Vault 2.0","by Dan Linstedt and Michael Olschimke",69.25,4.5
"Growth Hacking: Marketing, Branding, Selling, Social Media Psychology, Data Analytics, Customer Experience, Competitive Advantage, Lean Startup Strategy, Online, Internet & Digital Transformation.","by Jerry Ramonyai",0.00,
"Python Programming: 3 Books in 1: The Complete Beginner’s Guide to Learning the Most Popular Programming Language","by Dylan Penny",35.06,4.1
"Data Science with Jupyter: Master Data Science skills with easy-to-follow Python examples","by Prateek Gupta",11.73,4.0
"Algorithms: An Introduction to The Computer Science & Artificial Intelligence Used to Solve Human Decisions, Advance Technology, Optimize Habits, Learn Faster & Your Improve Life","by Trust Genics",21.77,4.0
"Machine Learning for Beginners: Learn to Build Machine Learning Systems Using Python (English Edition)","by Harsh Bhasin",42.17,3.1
"Amazing Trains: Part 2: A Giant Activity & Coloring Book","by Lindsay Turlan",13.37,
"Machine Learning in Business: An Introduction to the World of Data Science","by John C Hull",42.15,
"Python for Data Analysis: A Practical Guide for Manipulating, Processing, Cleaning, and Crunching Data Sets in Python. How to Effectively Solve a Wide Range of Data Analysis Problems.","by Dylan Penny",23.36,4.3
"Python for Data Science: A Guide to Learn in Depth How to Use This Programming Language to Reorder Data While Remaining Focused on Your Specific Purposes.","by Dylan Penny",22.58,4.8
"All The Things I Was Right About: Funny Blank Lined Journal Coworker Notebook , planner for employees,Great Coworker Birthday Gift Idea For men and women: 6x9 inches 110pages","by 7ATABE Store",8.91,
"An Introduction to Data Analysis using Aggregation Functions in R","by Simon James",101.63,5.0
"Python for Programmers with Big Data and Artificial Intelligence Case Studies","by Harvey Deitel, Paul & Deitel",65.63,4.4
"Create A Wordpress Website: Build Any Type Of Website Imaginable With Zero Programming Skills: Using Wordpress To Create A Website","by Chung Soulard",0.00,
"Beginning Mathematica and Wolfram for Data Science: Applications in Data Analysis, Machine Learning, and Neural Networks","by Jalil Villalobos Alva",64.99,5.0
"Machine Learning and Data Science Blueprints for Finance: From Building Trading Strategies to Robo-Advisors Using Python","by Hariom Tatsat",82.07,4.0
"Introduction to Data Mining","by Pang-Ning Tan, Michael Steinbach, et al.",248.00,3.7
"Analytical Skills for AI and Data Science: Building Skills for an Ai-Driven Enterprise","by Daniel Vaughan",,4.5
"Python Programming: The Complete Crash Course for Beginners to Mastering Python with Practical Applications to Data Analysis & Analytics, Machine Learning and Data Science Projects - 6 Books in 1","by Andrew Park",0.00,4.4
"Business Strategies In The Digital Age: The Business Model And Delivery Mechanism Needed To Thrive: Digital Transformation","by Dee Pribnow",0.00,
"ggplot2: Elegant Graphics for Data Analysis","by Hadley Wickham",84.99,4.4
"The Model Thinker: What You Need to Know to Make Data Work for You","by Scott E. Page",,4.5
"Data Science Fundamentals for Python and MongoDB","by David Paper",7.26,4.6
"Street Data: A Next-Generation Model for Equity, Pedagogy, and School Transformation","by Shane Safir",55.09,4.8
"Business Model Innovation In The Digital Age: Lead Up To The Strategic Investment Alignment Map: Digital Transformation Strategy","by Thresa Nothstine",0.00,
"Modern Data Science with R","by Benjamin S. Baumer, Daniel T. Kaplan, et al.",,4.8
"Big History - A Journey From The Big Bang To The Modern World And Into The Future","by Mr Giuseppe Ferrone",43.99,
"Python For Beginners: Learn From Scratch the Most Used Programming Language of the Moment in Just 15 Days.","by Dylan Penny",23.36,4.0
"Not Necessarily Rocket Science: A Beginner's Guide to Life in the Space Age","by Kellie Gerardi",15.10,4.8
"Quantum Physics For Beginners: The Step by Step Guide To Discover All The Mind-Blowing Secrets Of Quantum Physics And How You Unknowingly Use Its Most Famous Theories Every Day","by Michael Rutherford",20.99,4.8
"Effective Data Storytelling: How to Drive Change with Data, Narrative and Visuals","by Brent Dykes",43.25,4.7
"Statistical Rethinking: A Bayesian Course with Examples in R and STAN","by Richard McElreath",,4.9
"A Hands-On Introduction to Data Science","by Chirag Shah",,4.9
"Python for Data Science: 2 Books in 1: The Ultimate Step-By-Step Amateur's Exercise to Master Data Science, Machine Learning, and Analysis by Using Python. (Part 1 and 2)","by Freddie Slater",33.21,
"Digital Transformation In Business: Primary Focus Is On The Supply Side Of Digital Technology: Digital Transformation Strategy","by Sherwood Deblauw",0.00,
"Cody's Data Cleaning Techniques Using SAS, Third Edition","by Ron Cody EdD",70.34,3.9
"Data Set Collection: March of the Mini Beasts; Don't Disturb the Dinosaurs; The Sky Is Falling; Robots Rule the School","by Ada Hopper",38.65,4.6
"Data Mining 4E: Practical Machine Learning Tools and Techniques","by Ian Witten, Eibe Frank, et al.",83.25,4.3
"The ABCs of Data Science: By Real Data Scientists, For Future Data Scientists: 6","by Rikin Mathur, Varun Bhartia, et al.",21.11,4.7
"Agile: Agile Done Right, Practice Guide, Marketing, Selling, Leadership Coaching, Auditing, Governance, Development, Data Warehouse Architecture, Design Thinking, Project Management, Scrum & Kanban.","by Jerry Ramonyai",0.00,
"Numerical Python: Scientific Computing and Data Science Applications with Numpy, SciPy and Matplotlib","by Robert Johansson",61.69,4.3
"Beginning Data Science in R: Data Analysis, Visualization, and Modelling for the Data Scientist","by Thomas Mailund",15.79,4.8
"Data Science on the Google Cloud Platform: Implementing End-To-End Real-Time Data Pipelines: From Ingest to Machine Learning","by Valliappa Lakshmanan",82.71,4.3
"Data Structures and Algorithms with Python","by Kent D. Lee and Steve Hubbard",45.70,4.5
"Evaluation Through Pictures: A New Way For Understanding Evaluation: Social Science Research","by Ingrid Frumkin",0.00,
"Enterprise Data Architecture: How to navigate its landscape","by Dave Knifton",49.25,4.4
"Data Science: The Ultimate Guide to Data Analytics, Data Mining, Data Warehousing, Data Visualization, Regression Analysis, Database Querying, Big Data for Business and Machine Learning for Beginners","by Herbert Jones",7.05,4.4
"Chief Data Officer Handbook for Data Governance","by Sunil Soares",26.06,4.2
"Machine Learning: The Most Complete Guide for Beginners to Mastering Deep Learning, Artificial Intelligence and Data Science with Python. This Book Includes: Python Machine Learning and Data Science.","by Andrew Park",15.18,3.5
"IPHONE 12 PHOTOGRAPHY : The Step By Step Manual To Master An Iphone Camera And To Effectively Shoot Cinematic Videos And Photos","by JOSE  DAVICE",0.00,
"MATLAB: A Practical Introduction to Programming and Problem Solving","by Stormy Attaway Ph.D. Boston University",65.88,4.5
"Stanley Thornes Primary Maths - Level 1 Support Data Handling Textbook","by Sean McArdle, Barry Phillips, et al.",21.45,
"Visualizing Health and Healthcare Data: Creating Clear and Compelling Visualizations to "See How You're Doing"","by Lindsay Betzendahl, Cambria Brown, et al.",49.13,4.0
"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us about Who We Really Are","by Seth Stephens-Davidowitz",33.05,4.4
"Interactive Graphics for Data Analysis: Principles and Examples","by Martin Theus and Simon Urbanek",15.91,
"A Court of Thorns and Roses: The #1 bestselling series","by Sarah J. Maas",8.59,4.5
"Python: 3 books in 1: Beginner's guide, Data science and Machine learning. The easiest guide to get started in Python programming. Unlock your ... and develop your project in just 30 days.","by William Dimick",19.64,4.7
"Accelerate: The Science of Lean Software and Devops: Building and Scaling High Performing Technology Organizations","by Nicole Forsgren Phd, Jez Humble, et al.",,4.5
"Python for Beginners: A Complete Beginner's Guide to Learning Python Quickly","by Daniel  O'Reilly",0.00,4.4
"Calling Bullshit: The Art of Scepticism in a Data-Driven World","by Carl T. Bergstrom and Jevin D. West",19.50,4.6
"The Hundred-Page Machine Learning Book","by Andriy Burkov",57.13,4.6
"People I Want To Punch In The Face: Blank Lined Notebook, Great Funny Gift, Perfect for Notes and Journal, Work Gag Appreciation Gift (6"x9" - 120 pages)","by Funny Notbook",9.71,
"Python Programming: 3 Books in 1: The Complete Beginner’s Guide to Learning the Most Popular Programming Language","by Dylan Penny",35.06,4.1
